Error,Model Type,Data Subset
2.46056064736501,$M = 5$,Training
2.5351896713818385,$M = 5$,"High-DoD
Test"
2.8028508514467765,$M = 5$,"Low-DoD
Test"
2.4350882663625146,$M = 5$,Training
2.5145505994469715,$M = 5$,"High-DoD
Test"
2.988452726493766,$M = 5$,"Low-DoD
Test"
2.438905425403437,$M = 5$,Training
2.6292464538228315,$M = 5$,"High-DoD
Test"
3.156186497055427,$M = 5$,"Low-DoD
Test"
2.355622673117228,$M = 5$,Training
2.6686170688424213,$M = 5$,"High-DoD
Test"
2.8881940392258376,$M = 5$,"Low-DoD
Test"
2.3430289703402116,$M = 5$,Training
2.4594579990967738,$M = 5$,"High-DoD
Test"
3.0696230379852985,$M = 5$,"Low-DoD
Test"
2.4451246755013187,$M = 5$,Training
2.4947830703912404,$M = 5$,"High-DoD
Test"
2.7715285041021764,$M = 5$,"Low-DoD
Test"
2.4129189906509163,$M = 5$,Training
2.6052015058827527,$M = 5$,"High-DoD
Test"
2.838022000122972,$M = 5$,"Low-DoD
Test"
2.283648493728714,$M = 5$,Training
2.389370472832952,$M = 5$,"High-DoD
Test"
3.065545470218052,$M = 5$,"Low-DoD
Test"
2.371269512278744,$M = 5$,Training
2.465546338449136,$M = 5$,"High-DoD
Test"
2.9388182779125533,$M = 5$,"Low-DoD
Test"
2.277490182087311,$M = 5$,Training
2.2836588852862914,$M = 5$,"High-DoD
Test"
2.8910053537849247,$M = 5$,"Low-DoD
Test"
